layer,group,probe,token_id,mean_trigger_minus_clean_logit,std,positive_fraction
10,error,mistake,16523,0.7701174020767212,0.651841402053833,0.921875
10,error,misleading,37209,-0.2763476073741913,0.8548699021339417,0.390625
10,error,deceive,92828,0.8942402005195618,0.696408212184906,0.875
10,checking,correct,4396,1.2388520240783691,1.4918475151062012,0.75
10,checking,verify,10146,-0.4212642312049866,1.1221070289611816,0.375
10,checking,check,1779,-0.17845167219638824,1.2448514699935913,0.40625
10,checking,careful,16585,0.8763713836669922,0.8611307144165039,0.828125
10,reasoning,think,1744,0.1822471022605896,0.8718492388725281,0.546875
10,reasoning,reason,2874,-0.21759246289730072,0.8666502237319946,0.390625
10,reasoning,answer,4226,-0.07279506325721741,1.6614845991134644,0.453125
10,reasoning,solve,11625,-2.393129587173462,1.4181193113327026,0.046875
10,reasoning,step,3019,1.1602169275283813,1.8325945138931274,0.734375
10,reasoning,conclusion,16688,-0.2755167484283447,1.1869419813156128,0.390625
10,termination,final,1590,-1.2477725744247437,1.8777563571929932,0.265625
10,termination,end,835,-0.9174208641052246,1.4962364435195923,0.234375
10,termination,stop,2936,-0.5773156881332397,1.184057593345642,0.265625
10,termination,short,2805,2.480509042739868,1.6540203094482422,0.90625
10,termination,continue,3060,-0.8252450227737427,1.1345458030700684,0.28125
10,plausibility,plausible,49334,-0.861991286277771,0.7564875483512878,0.109375
10,plausibility,coherent,55787,1.062806487083435,1.1834757328033447,0.78125
10,plausibility,confident,16506,1.042224407196045,0.9373687505722046,0.875
10,plausibility,trust,6950,1.0166374444961548,1.1486607789993286,0.84375
11,error,wrong,4969,0.945817768573761,1.0506699085235596,0.828125
11,error,incorrect,15114,0.470183789730072,1.3589445352554321,0.53125
11,error,error,1465,2.7788052558898926,1.364701747894287,0.96875
11,error,mistake,16523,0.08187366276979446,0.8349850177764893,0.453125
11,error,misleading,37209,-1.5689607858657837,0.9086182117462158,0.03125
11,error,deceive,92828,-0.30603817105293274,0.8457520604133606,0.296875
11,checking,correct,4396,1.442818284034729,1.3170641660690308,0.84375
11,checking,verify,10146,-0.6931866407394409,0.9819075465202332,0.25
11,checking,check,1779,0.3805856704711914,0.9684068560600281,0.671875
11,checking,careful,16585,1.2060325145721436,0.7683122754096985,0.9375
11,reasoning,think,1744,0.468437135219574,1.0448418855667114,0.71875
11,reasoning,reason,2874,1.255729079246521,0.9033915996551514,0.90625
11,reasoning,answer,4226,-0.9935673475265503,1.6837208271026611,0.296875
11,reasoning,solve,11625,-2.200073719024658,1.2809638977050781,0.03125
11,reasoning,step,3019,-0.010755538940429688,1.8669452667236328,0.484375
11,reasoning,conclusion,16688,-1.0503584146499634,1.4205191135406494,0.203125
11,termination,final,1590,-0.39392662048339844,1.5568323135375977,0.421875
11,termination,end,835,0.849036693572998,1.4414482116699219,0.6875
11,termination,stop,2936,0.7723703384399414,0.8230081796646118,0.828125
11,termination,short,2805,3.3850173950195312,1.1005882024765015,1.0
11,termination,continue,3060,0.4227510392665863,0.9134401082992554,0.71875
11,plausibility,plausible,49334,0.11772270500659943,0.8636401295661926,0.5625
11,plausibility,coherent,55787,1.458090901374817,0.8494126796722412,0.984375
11,plausibility,confident,16506,1.0115458965301514,0.7824459671974182,0.890625
11,plausibility,trust,6950,1.749327540397644,0.8175193071365356,0.984375
12,error,wrong,4969,-0.1435314416885376,1.1084892749786377,0.4375
12,error,incorrect,15114,-0.4995189905166626,1.3637107610702515,0.328125
12,error,error,1465,2.572554588317871,1.541427731513977,0.953125
12,error,mistake,16523,-0.7708288431167603,0.9745526313781738,0.203125
12,error,misleading,37209,-1.614739179611206,0.9696859121322632,0.046875
12,error,deceive,92828,-1.1759912967681885,0.770063042640686,0.046875
12,checking,correct,4396,0.9197510480880737,1.336121678352356,0.765625
12,checking,verify,10146,-0.2669954299926758,1.0572789907455444,0.421875
12,checking,check,1779,-0.6900916695594788,1.1771944761276245,0.28125
12,checking,careful,16585,-0.09504689276218414,0.9227576851844788,0.4375
12,reasoning,think,1744,-0.9440593123435974,1.1575418710708618,0.21875
12,reasoning,reason,2874,0.5876186490058899,1.1528652906417847,0.71875
12,reasoning,answer,4226,-2.3398568630218506,1.472554326057434,0.0625
12,reasoning,solve,11625,-2.3085904121398926,1.4544273614883423,0.03125
12,reasoning,step,3019,-1.869426965713501,1.8002119064331055,0.15625
12,reasoning,conclusion,16688,-1.3283740282058716,1.3626843690872192,0.203125
12,termination,final,1590,-1.5673038959503174,1.8773362636566162,0.21875
12,termination,end,835,0.19441719353199005,1.7022303342819214,0.46875
12,termination,stop,2936,-0.6502633690834045,0.9706964492797852,0.28125
12,termination,short,2805,2.153566598892212,1.377123236656189,0.953125
12,termination,continue,3060,-0.14410686492919922,1.0393716096878052,0.515625
12,plausibility,plausible,49334,-1.776490569114685,1.0225900411605835,0.046875
12,plausibility,coherent,55787,0.8148227334022522,0.8242245316505432,0.84375
12,plausibility,confident,16506,0.46485310792922974,0.8347093462944031,0.75
12,plausibility,trust,6950,0.5871853828430176,0.9935033321380615,0.6875
13,error,wrong,4969,-0.022721726447343826,1.1675506830215454,0.4375
13,error,incorrect,15114,-0.7415369153022766,1.4108641147613525,0.265625
13,error,error,1465,1.1575958728790283,1.179275393486023,0.8125
13,error,mistake,16523,-1.2779791355133057,1.0926893949508667,0.109375
13,error,misleading,37209,-2.0647621154785156,0.9546632170677185,0.046875
13,error,deceive,92828,-1.2193896770477295,0.8266792893409729,0.078125
13,checking,correct,4396,0.016603033989667892,1.3919835090637207,0.5
13,checking,verify,10146,-0.29493027925491333,0.8574698567390442,0.359375
13,checking,check,1779,-0.8667237758636475,1.0018519163131714,0.234375
13,checking,careful,16585,-1.0323355197906494,0.9068018794059753,0.171875
13,reasoning,think,1744,-0.9827107191085815,1.1459449529647827,0.171875
13,reasoning,reason,2874,0.19491004943847656,1.169298529624939,0.546875
13,reasoning,answer,4226,-1.948889970779419,1.3157962560653687,0.0625
13,reasoning,solve,11625,-2.4349875450134277,1.3492228984832764,0.046875
13,reasoning,step,3019,-1.7480151653289795,1.3574942350387573,0.125
13,reasoning,conclusion,16688,-1.5319733619689941,1.1396379470825195,0.125
13,termination,final,1590,-2.1156349182128906,1.307265043258667,0.015625
13,termination,end,835,-0.7271549105644226,1.2737975120544434,0.28125
13,termination,stop,2936,-0.939397931098938,0.9965455532073975,0.171875
13,termination,short,2805,1.3240587711334229,1.3714553117752075,0.859375
13,termination,continue,3060,-0.19492961466312408,0.9116962552070618,0.40625
13,plausibility,plausible,49334,-2.8417177200317383,0.9850746393203735,0.0
13,plausibility,coherent,55787,-0.38215264678001404,0.7555163502693176,0.28125
13,plausibility,confident,16506,0.7354612350463867,0.786535918712616,0.828125
13,plausibility,trust,6950,0.0607566237449646,0.9480634331703186,0.484375
14,error,wrong,4969,2.3629353046417236,1.1657383441925049,0.984375
14,error,incorrect,15114,1.5426251888275146,1.1983190774917603,0.90625
14,error,error,1465,3.9522063732147217,1.3934810161590576,1.0
14,error,mistake,16523,2.0647027492523193,1.250622272491455,0.9375
14,error,misleading,37209,0.5353172421455383,0.9189558625221252,0.734375
14,error,deceive,92828,-0.7705897688865662,0.8039160966873169,0.1875
14,checking,correct,4396,2.9742116928100586,1.4633722305297852,0.984375
14,checking,verify,10146,0.4307771623134613,0.7275508046150208,0.71875
14,checking,check,1779,1.5019807815551758,1.1234079599380493,0.921875
14,checking,careful,16585,0.734865665435791,0.8651536703109741,0.828125
14,reasoning,think,1744,0.7230116724967957,1.0787034034729004,0.734375
14,reasoning,reason,2874,2.2842750549316406,1.146937370300293,0.96875
14,reasoning,answer,4226,-0.3971748948097229,1.2879326343536377,0.421875
14,reasoning,solve,11625,0.9403181076049805,1.2172579765319824,0.71875
14,reasoning,step,3019,2.605100631713867,1.615485429763794,0.921875
14,reasoning,conclusion,16688,0.08320614695549011,1.2555532455444336,0.46875
14,termination,final,1590,-0.304238885641098,1.3079407215118408,0.421875
14,termination,end,835,1.487939476966858,1.5947967767715454,0.78125
14,termination,stop,2936,0.7145283222198486,1.2125005722045898,0.734375
14,termination,short,2805,4.359135627746582,1.5495399236679077,1.0
14,termination,continue,3060,1.0206340551376343,1.1541074514389038,0.75
14,plausibility,plausible,49334,-1.090294361114502,1.0532526969909668,0.203125
14,plausibility,coherent,55787,1.0252342224121094,0.8654283285140991,0.9375
14,plausibility,confident,16506,1.4636335372924805,0.8613458871841431,0.953125
14,plausibility,trust,6950,-0.32942238450050354,0.914032518863678,0.328125
15,error,wrong,4969,1.607203722000122,1.2949599027633667,0.90625
15,error,incorrect,15114,-0.04697053134441376,1.210058331489563,0.390625
15,error,error,1465,2.0224432945251465,1.43210768699646,0.921875
15,error,mistake,16523,0.5803297758102417,1.1586025953292847,0.6875
15,error,misleading,37209,-1.3104133605957031,0.9301908612251282,0.09375
15,error,deceive,92828,-1.3522837162017822,0.9029648303985596,0.09375
15,checking,correct,4396,2.214001417160034,1.5433070659637451,0.9375
15,checking,verify,10146,2.7804930210113525,0.9279820322990417,1.0
15,checking,check,1779,0.9455698728561401,1.1088489294052124,0.78125
15,checking,careful,16585,0.6850585341453552,1.1269978284835815,0.71875
15,reasoning,think,1744,1.2822747230529785,1.4657747745513916,0.859375
15,reasoning,reason,2874,1.7986451387405396,1.2887698411941528,0.953125
15,reasoning,answer,4226,-1.8836017847061157,1.5733009576797485,0.09375
15,reasoning,solve,11625,-1.4327086210250854,1.2444254159927368,0.109375
15,reasoning,step,3019,0.8405967950820923,1.3018063306808472,0.671875
15,reasoning,conclusion,16688,-1.198293685913086,1.267513632774353,0.15625
15,termination,final,1590,-1.6376464366912842,1.3958240747451782,0.109375
15,termination,end,835,-1.258155107498169,1.5585187673568726,0.203125
15,termination,stop,2936,0.8382184505462646,1.0948816537857056,0.78125
15,termination,short,2805,1.9002587795257568,1.3365925550460815,0.9375
15,termination,continue,3060,0.7390053272247314,1.1781760454177856,0.703125
15,plausibility,plausible,49334,-1.886864423751831,1.0371359586715698,0.046875
15,plausibility,coherent,55787,0.6772125959396362,0.8462815880775452,0.828125
15,plausibility,confident,16506,2.580261707305908,1.0282071828842163,1.0
15,plausibility,trust,6950,1.798509120941162,0.9973611235618591,0.96875
